"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2005-01-03,46.950001,47.59,46.950001,47.349998,1691000,23.865454
"2",2005-01-04,46.869999,47.029999,46.529999,46.599998,1500300,23.487444
"3",2005-01-05,46.799999,46.93,46.41,46.41,874400,23.391678
"4",2005-01-06,46.299999,46.630001,46.290001,46.41,940700,23.391678
"5",2005-01-07,46.869999,46.990002,46.34,46.900002,1511100,23.638649
"6",2005-01-10,46.84,46.98,46.549999,46.82,1479300,23.598324
"7",2005-01-11,46.299999,46.330002,45.990002,46.200001,1360800,23.285837
"8",2005-01-12,45.650002,45.799999,45.470001,45.709999,2093400,23.038858
"9",2005-01-13,45.700001,45.700001,45.43,45.470001,1296800,22.917898
"10",2005-01-14,45.450001,45.639999,45.299999,45.459999,1357100,22.912855
"11",2005-01-18,44.91,45.5,44.830002,45.41,1642300,22.887651
"12",2005-01-19,45.27,45.27,44.59,44.77,1137400,22.565084
"13",2005-01-20,44.419998,44.73,44.419998,44.540001,1235600,22.449154
"14",2005-01-21,44.25,44.669998,44.169998,44.48,1857200,22.418915
"15",2005-01-24,44.369999,44.849998,44.369999,44.66,1637900,22.509638
"16",2005-01-25,44.400002,44.709999,44.400002,44.700001,3372800,22.529795
"17",2005-01-26,44.869999,45.290001,44.869999,45.150002,1504200,22.756603
"18",2005-01-27,44.68,45.049999,44.630001,45.049999,1613800,22.706209
"19",2005-01-28,44.919998,45,44.59,44.810001,1410600,22.585245
"20",2005-01-31,44.68,44.810001,44.509998,44.57,1058300,22.464277
"21",2005-02-01,44.470001,44.740002,44.360001,44.549999,1346300,22.454193
"22",2005-02-02,44.959999,45.09,44.830002,45.040001,1054300,22.701172
"23",2005-02-03,44.610001,44.75,44.509998,44.650002,882800,22.504601
"24",2005-02-04,45.419998,45.669998,45.349998,45.540001,953500,22.953178
"25",2005-02-07,45.32,45.380001,45.150002,45.25,737200,22.807005
"26",2005-02-08,45.18,45.450001,45.099998,45.349998,1310400,22.857409
"27",2005-02-09,46.200001,46.34,45.720001,45.720001,2675200,23.0439
"28",2005-02-10,46.150002,46.75,46.150002,46.669998,1979600,23.522722
"29",2005-02-11,46.380001,46.720001,46.299999,46.669998,807900,23.522722
"30",2005-02-14,47.610001,47.970001,47.52,47.759998,1529300,24.072105
"31",2005-02-15,48.279999,48.470001,48.200001,48.43,1837500,24.409805
"32",2005-02-16,47.779999,47.799999,47.009998,47.43,1409000,24.127172
"33",2005-02-17,47.25,47.310001,47.049999,47.130001,1107100,23.974569
"34",2005-02-18,47,47.59,46.990002,47.560001,933000,24.193304
"35",2005-02-22,49.330002,49.450001,48.549999,48.599998,1895300,24.72234
"36",2005-02-23,48.560001,48.900002,48.349998,48.849998,1443900,24.849514
"37",2005-02-24,48.330002,48.459999,48.049999,48.419998,909500,24.630772
"38",2005-02-25,48.330002,48.689999,48.25,48.639999,777000,24.742691
"39",2005-02-28,48.610001,48.66,47.849998,48.220001,1536000,24.529043
"40",2005-03-01,48.799999,49.450001,48.790001,49.220001,1250200,25.037722
"41",2005-03-02,49.119999,49.470001,49.07,49.080002,1057700,24.966516
"42",2005-03-03,50.549999,50.830002,50.32,50.5,1875200,25.68885
"43",2005-03-04,51.740002,51.919998,48.32,48.91,13387300,24.880033
"44",2005-03-07,48.75,49.049999,48.48,48.810001,1926600,24.82917
"45",2005-03-08,49.049999,49.200001,48.599998,48.98,1454000,24.915648
"46",2005-03-09,48.759998,48.82,47.919998,47.93,1587000,24.381527
"47",2005-03-10,48.849998,48.98,48.450001,48.599998,1385800,24.72234
"48",2005-03-11,48.650002,48.790001,48.48,48.48,1244700,24.661293
"49",2005-03-14,48,48.509998,48,48.450001,1226000,24.646044
"50",2005-03-15,49.32,49.32,48.41,48.700001,1134600,24.773216
"51",2005-03-16,48.700001,48.869999,48.110001,48.349998,955700,24.595175
"52",2005-03-17,48.439999,48.540001,47.700001,47.84,1650400,24.335732
"53",2005-03-18,46.959999,47.299999,46.709999,47.049999,2023300,23.933878
"54",2005-03-21,46.900002,47.009998,46.470001,46.919998,1238600,23.867741
"55",2005-03-22,46.93,47.139999,46.540001,46.59,1158600,23.699873
"56",2005-03-23,46.599998,46.84,46.32,46.360001,1764800,23.582882
"57",2005-03-24,46.290001,46.439999,45.860001,45.860001,2551800,23.328535
"58",2005-03-28,46.5,46.5,45.880001,45.93,1299900,23.364149
"59",2005-03-29,45.650002,45.75,45.450001,45.459999,1486300,23.125055
"60",2005-03-30,45.869999,46.009998,45.73,45.970001,1963800,23.384485
"61",2005-03-31,46.029999,46.16,45.759998,45.919998,1720300,23.359045
"62",2005-04-01,45.84,46.080002,45.23,45.330002,1401900,23.058926
"63",2005-04-04,45.139999,45.290001,45.009998,45.189999,2099700,22.987713
"64",2005-04-05,46.169998,46.439999,45.330002,46.200001,2348000,23.50149
"65",2005-04-06,46.169998,46.380001,46.040001,46.169998,2137700,23.486221
"66",2005-04-07,45.950001,46.200001,45.759998,46,1822800,23.399742
"67",2005-04-08,46.060001,46.25,45.830002,46.029999,1448600,23.415009
"68",2005-04-11,46.98,47,46.580002,46.75,1122300,23.781271
"69",2005-04-12,46.279999,46.619999,46.080002,46.5,1452900,23.654089
"70",2005-04-13,46.23,46.790001,46.049999,46.619999,1415500,23.715134
"71",2005-04-14,46.650002,47.689999,46.630001,47.5,2841700,24.162777
"72",2005-04-15,48.48,48.580002,47.740002,47.82,3002700,24.325556
"73",2005-04-18,47.93,48.110001,47.200001,47.369999,1605800,24.096653
"74",2005-04-19,48.380001,48.439999,47.880001,48.169998,1459800,24.503613
"75",2005-04-20,47.48,47.720001,47.130001,47.130001,827800,23.974569
"76",2005-04-21,46.950001,47.369999,46.689999,47.119999,1192600,23.969475
"77",2005-04-22,46.700001,46.950001,46.529999,46.779999,897400,23.79652
"78",2005-04-25,46.700001,46.900002,46.599998,46.889999,654700,23.852484
"79",2005-04-26,46.349998,47.080002,46.240002,46.779999,926600,23.79652
"80",2005-04-27,47.549999,47.599998,47.099998,47.41,1156800,24.117002
"81",2005-04-28,50.279999,50.860001,49.75,49.759998,4147600,25.312433
"82",2005-04-29,50.880001,50.98,49.970001,50.549999,1708100,25.714291
"83",2005-05-02,50.279999,50.84,50.220001,50.25,1420300,25.561686
"84",2005-05-03,50.849998,51.080002,50.580002,51.049999,1765800,25.968634
"85",2005-05-04,51.150002,51.709999,51.009998,51.400002,1511000,26.146669
"86",2005-05-05,51.099998,51.200001,50.84,50.939999,1519700,25.91268
"87",2005-05-06,50.73,50.869999,50.599998,50.669998,771800,25.775326
"88",2005-05-09,50.68,50.970001,50.450001,50.91,1030500,25.897421
"89",2005-05-10,50.049999,50.48,50,50.209999,1557500,25.54133
"90",2005-05-11,49.889999,50.150002,49.73,50.029999,1211300,25.643894
"91",2005-05-12,49.849998,50.119999,49.75,49.950001,1434700,25.6029
"92",2005-05-13,49.700001,49.75,49.240002,49.509998,685400,25.377365
"93",2005-05-16,48.830002,49.73,48.799999,49.66,1302900,25.454243
"94",2005-05-17,49.630001,50,49.580002,49.830002,1720900,25.541389
"95",2005-05-18,49.93,50.549999,49.810001,50.27,939200,25.766916
