"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2016-10-07,9.1,9.99,8,8.02,1793700,8.02
"2",2016-10-10,8,8.377,8,8,267600,8
"3",2016-10-11,8,8.14,7.45,7.5,282400,7.5
"4",2016-10-12,7.5,7.59,7.5,7.5,99000,7.5
"5",2016-10-13,7.5,7.628,6.15,6.78,145400,6.78
"6",2016-10-14,6.58,6.8,6.28,6.5,115300,6.5
"7",2016-10-17,6.65,6.69,6.25,6.69,162200,6.69
"8",2016-10-18,6.75,6.75,6.4,6.62,82100,6.62
"9",2016-10-19,6.75,6.75,6.4,6.56,22000,6.56
"10",2016-10-20,6.41,6.68,6.41,6.61,49400,6.61
"11",2016-10-21,6.51,6.65,6.45,6.5,90500,6.5
"12",2016-10-24,6.54,6.59,6.43,6.46,19100,6.46
"13",2016-10-25,6.46,6.693,6.25,6.33,57100,6.33
"14",2016-10-26,6.29,7.36,6.26,7.36,98000,7.36
"15",2016-10-27,7.3,7.65,6.86,7.5,275300,7.5
"16",2016-10-28,7.51,7.52,6.59,6.82,55300,6.82
"17",2016-10-31,6.88,6.9,6.59,6.66,39600,6.66
"18",2016-11-01,6.4,7.3,6.4,7.25,19000,7.25
"19",2016-11-02,7.42,7.42,6.75,6.98,54100,6.98
"20",2016-11-03,7.2,7.2,6.45,6.59,68400,6.59
"21",2016-11-04,6.93,7,6.47,6.87,44300,6.87
"22",2016-11-07,7.25,7.25,6.75,6.84,24000,6.84
"23",2016-11-08,6.87,7.19,6.75,7.04,19300,7.04
"24",2016-11-09,6.98,7.25,6.9,6.92,13200,6.92
"25",2016-11-10,7.25,7.25,6.9,7.03,9600,7.03
"26",2016-11-11,7,7,6.8,6.8,9700,6.8
"27",2016-11-14,6.8,7.165,6.772,6.93,36100,6.93
"28",2016-11-15,7.49,7.6,6.81,6.91,33900,6.91
"29",2016-11-16,7.2,7.528,6.95,6.96,17600,6.96
"30",2016-11-17,7.04,7.04,6.86,6.86,22800,6.86
"31",2016-11-18,7.48,7.48,6.8,7.2,30800,7.2
"32",2016-11-21,7.19,7.22,7,7.22,36600,7.22
"33",2016-11-22,7.2,7.25,7.15,7.23,27000,7.23
"34",2016-11-23,7.28,7.28,6.9,7.07,136900,7.07
"35",2016-11-25,7.07,7.29,7.07,7.29,9500,7.29
"36",2016-11-28,7.17,7.24,7,7.23,18400,7.23
