"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2005-01-03,12.38,12.44,11.9,12,6698700,12
"2",2005-01-04,12,12.05,11.51,11.66,7710000,11.66
"3",2005-01-05,11.55,11.73,11.46,11.53,5512800,11.53
"4",2005-01-06,11.57,11.64,11.34,11.41,7517400,11.41
"5",2005-01-07,11.57,11.62,11.3,11.46,9267700,11.46
"6",2005-01-10,11.36,11.58,11.36,11.43,4103600,11.43
"7",2005-01-11,11.33,11.36,11.05,11.09,8382900,11.09
"8",2005-01-12,11.2,11.34,11.07,11.33,7553700,11.33
"9",2005-01-13,11.28,11.35,11.12,11.17,5e+06,11.17
"10",2005-01-14,11.23,11.32,11.16,11.21,4325100,11.21
"11",2005-01-18,11.15,11.28,11.1,11.2,7240200,11.2
"12",2005-01-19,11.21,11.22,11,11.01,4431100,11.01
"13",2005-01-20,10.97,11.14,10.9,11.02,7063800,11.02
"14",2005-01-21,10.95,11.02,10.37,10.41,12832400,10.41
"15",2005-01-24,10.42,10.5,10.05,10.06,10203600,10.06
"16",2005-01-25,10.19,10.38,10.15,10.25,9478200,10.25
"17",2005-01-26,10.35,10.38,10.12,10.31,6271300,10.31
"18",2005-01-27,10.59,10.69,10.31,10.63,6525400,10.63
"19",2005-01-28,10.74,10.75,10.25,10.36,6059400,10.36
"20",2005-01-31,10.45,10.54,10.38,10.41,3692400,10.41
"21",2005-02-01,10.59,10.73,10.51,10.7,5037600,10.7
"22",2005-02-02,10.77,10.94,10.7,10.82,6190700,10.82
"23",2005-02-03,10.81,10.86,10.63,10.85,6423800,10.85
"24",2005-02-04,10.87,11.16,10.84,11.1,6326800,11.1
"25",2005-02-07,11.08,11.41,11.06,11.32,8694900,11.32
"26",2005-02-08,11.29,11.49,11.28,11.33,5440200,11.33
"27",2005-02-09,11.32,11.35,11.07,11.23,6461800,11.23
"28",2005-02-10,11.34,11.42,11.09,11.27,6079600,11.27
"29",2005-02-11,11.27,11.92,11.16,11.73,9887500,11.73
"30",2005-02-14,11.67,11.83,11.51,11.81,4733900,11.81
"31",2005-02-15,11.87,12.15,11.7,11.92,8932700,11.92
"32",2005-02-16,11.92,11.92,11.63,11.8,6853600,11.8
"33",2005-02-17,11.79,11.79,11.46,11.5,7513600,11.5
"34",2005-02-18,11.4,11.57,11.37,11.5,4759300,11.5
"35",2005-02-22,11.33,11.82,11.33,11.46,7837500,11.46
"36",2005-02-23,11.51,11.6,11,11.36,8259200,11.36
"37",2005-02-24,11.41,11.57,11.28,11.57,4960800,11.57
"38",2005-02-25,11.57,11.76,11.5,11.68,6061900,11.68
"39",2005-02-28,11.58,11.79,11.44,11.5,5233300,11.5
"40",2005-03-01,11.62,11.62,11.36,11.48,9364400,11.48
"41",2005-03-02,11.48,11.48,11.2,11.42,10636500,11.42
"42",2005-03-03,11.3,11.37,11.1,11.19,16870400,11.19
"43",2005-03-04,11.18,11.18,10.73,10.76,21028300,10.76
"44",2005-03-07,10.8,11.03,10.76,10.93,7060900,10.93
"45",2005-03-08,10.83,11,10.55,10.58,9909500,10.58
"46",2005-03-09,10.58,10.74,10.5,10.6,13328300,10.6
"47",2005-03-10,10.65,10.71,10.56,10.69,7763100,10.69
"48",2005-03-11,10.7,10.77,10.38,10.42,8010900,10.42
"49",2005-03-14,10.4,10.44,10.28,10.39,7345800,10.39
"50",2005-03-15,10.38,10.4,10.08,10.25,8649000,10.25
"51",2005-03-16,10.2,10.51,10.15,10.38,9258800,10.38
"52",2005-03-17,10.55,10.58,10.35,10.45,5687100,10.45
"53",2005-03-18,10.46,10.54,10.25,10.29,4604700,10.29
"54",2005-03-21,10.34,10.42,10.17,10.22,4308000,10.22
"55",2005-03-22,10.26,10.35,10.08,10.1,5845600,10.1
"56",2005-03-23,10.14,10.29,10.11,10.22,5322500,10.22
"57",2005-03-24,10.31,10.4,10.2,10.23,3904900,10.23
"58",2005-03-28,10.31,10.47,10.13,10.17,6756600,10.17
"59",2005-03-29,10.16,10.23,10.04,10.12,11037200,10.12
"60",2005-03-30,10.45,10.5,10.3,10.48,12999000,10.48
"61",2005-03-31,10.49,10.49,10.3,10.34,5087900,10.34
"62",2005-04-01,10.44,10.44,10.19,10.26,7425700,10.26
"63",2005-04-04,10.22,10.24,10.05,10.09,5957000,10.09
"64",2005-04-05,10.15,10.19,10.04,10.08,4867000,10.08
"65",2005-04-06,10.14,10.22,10.06,10.07,4199500,10.07
"66",2005-04-07,10.08,10.21,9.98,10.2,6605700,10.2
"67",2005-04-08,10.2,10.29,10.15,10.2,4139500,10.2
"68",2005-04-11,10.2,10.26,10.12,10.22,4309400,10.22
"69",2005-04-12,10.2,10.23,10,10.19,4955400,10.19
"70",2005-04-13,10.14,10.16,9.95,9.99,5261100,9.99
"71",2005-04-14,10.03,10.03,9.71,9.77,7023700,9.77
"72",2005-04-15,9.58,9.75,9.37,9.52,8773100,9.52
"73",2005-04-18,9.57,9.66,9.5,9.62,5613900,9.62
"74",2005-04-19,9.7,9.73,9.56,9.64,3656600,9.64
"75",2005-04-20,9.78,9.8,9.37,9.44,7771900,9.44
"76",2005-04-21,9.51,9.78,9.48,9.72,6724100,9.72
"77",2005-04-22,9.73,9.73,9.32,9.41,5136300,9.41
"78",2005-04-25,9.75,9.75,9.55,9.58,4944200,9.58
"79",2005-04-26,9.67,9.79,9.55,9.55,7378400,9.55
"80",2005-04-27,9.54,9.64,9.46,9.49,6552000,9.49
"81",2005-04-28,9.48,9.71,9.46,9.57,5696300,9.57
"82",2005-04-29,9.65,9.74,9.49,9.71,5272600,9.71
"83",2005-05-02,9.72,9.8,9.65,9.66,3079100,9.66
