Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,11.7,11,11.53,Filler!,11.53
2,2/1/2018,Filler!,11.52,10.64,10.99,Filler!,10.99
3,3/1/2018,Filler!,11.12,10.72,10.83,Filler!,10.83
4,4/1/2018,Filler!,11.08,10.75,10.97,Filler!,10.97
5,5/1/2018,Filler!,11.12,10.72,10.75,Filler!,10.75
6,6/1/2018,Filler!,10.95,10.45,10.59,Filler!,10.59
7,7/1/2018,Filler!,10.86,10.46,10.82,Filler!,10.82
8,8/1/2018,Filler!,10.8,10.32,10.65,Filler!,10.65
9,9/1/2018,Filler!,10.77,10.36,10.68,Filler!,10.68
10,10/1/2018,Filler!,10.69,9.63,9.83,Filler!,9.83
11,11/1/2018,Filler!,10.1,9.73,9.91,Filler!,9.91
12,12/1/2018,Filler!,10.06,9.26,9.44,Filler!,9.44
13,1/1/2019,Filler!,10.14,9.34,10.14,Filler!,10.14
