Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,95.21,89.19,93.6,Filler!,93.6
2,2/1/2018,Filler!,93.56,85.6,90.16,Filler!,90.16
3,3/1/2018,Filler!,92.64,86.09,87.86,Filler!,87.86
4,4/1/2018,Filler!,90.19,85.9,88.2,Filler!,88.2
5,5/1/2018,Filler!,91.21,87.6,90.33,Filler!,90.33
6,6/1/2018,Filler!,93.09,90.24,90.88,Filler!,90.88
7,7/1/2018,Filler!,95.25,90.71,94.27,Filler!,94.27
8,8/1/2018,Filler!,97.73,94.17,97.34,Filler!,97.34
9,9/1/2018,Filler!,98.42,96.38,97.89,Filler!,97.89
10,10/1/2018,Filler!,98.28,88.82,91.2,Filler!,91.2
11,11/1/2018,Filler!,94.69,88.73,93.08,Filler!,93.08
12,12/1/2018,Filler!,94.21,79.49,84.68,Filler!,84.68
13,1/1/2019,Filler!,91.48,82.72,91.48,Filler!,91.48
