Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,46.56,44.58,45.68,Filler!,45.68
2,2/1/2018,Filler!,45.76,42.36,43.95,Filler!,43.95
3,3/1/2018,Filler!,46.21,43.66,44.26,Filler!,44.26
4,4/1/2018,Filler!,45.59,43.23,44.38,Filler!,44.38
5,5/1/2018,Filler!,46.88,44.38,46.53,Filler!,46.53
6,6/1/2018,Filler!,48.48,46.69,46.93,Filler!,46.93
7,7/1/2018,Filler!,48.56,47.15,47.7,Filler!,47.7
8,8/1/2018,Filler!,49.87,47.68,49.87,Filler!,49.87
9,9/1/2018,Filler!,49.76,48.85,49,Filler!,49
10,10/1/2018,Filler!,48.55,42.84,44.09,Filler!,44.09
11,11/1/2018,Filler!,45.94,42.85,44.95,Filler!,44.95
12,12/1/2018,Filler!,45.43,37.59,40.14,Filler!,40.14
13,1/1/2019,Filler!,44.84,39.45,44.84,Filler!,44.84
