Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,20.25,19.16,19.94,Filler!,19.94
2,2/1/2018,Filler!,19.93,18.44,19.15,Filler!,19.15
3,3/1/2018,Filler!,19.59,18.55,18.87,Filler!,18.87
4,4/1/2018,Filler!,19.29,18.54,19,Filler!,19
5,5/1/2018,Filler!,19.43,18.93,19.2,Filler!,19.2
6,6/1/2018,Filler!,19.62,19.03,19.17,Filler!,19.17
7,7/1/2018,Filler!,19.77,19.11,19.63,Filler!,19.63
8,8/1/2018,Filler!,20.02,19.34,19.88,Filler!,19.88
9,9/1/2018,Filler!,19.98,19.55,19.88,Filler!,19.88
10,10/1/2018,Filler!,19.92,18.04,18.45,Filler!,18.45
11,11/1/2018,Filler!,19.06,18.04,18.66,Filler!,18.66
12,12/1/2018,Filler!,18.88,16.63,17.44,Filler!,17.44
13,1/1/2019,Filler!,18.77,17.16,18.77,Filler!,18.77
