Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,11.89,11.87,11.89,Filler!,11.89
2,2/1/2018,Filler!,11.91,11.89,11.91,Filler!,11.91
3,3/1/2018,Filler!,11.94,11.91,11.94,Filler!,11.94
4,4/1/2018,Filler!,11.96,11.94,11.96,Filler!,11.96
5,5/1/2018,Filler!,11.98,11.96,11.98,Filler!,11.98
6,6/1/2018,Filler!,12.01,11.98,12.01,Filler!,12.01
7,7/1/2018,Filler!,12.03,12.01,12.03,Filler!,12.03
8,8/1/2018,Filler!,12.06,12.03,12.06,Filler!,12.06
9,9/1/2018,Filler!,12.08,12.06,12.08,Filler!,12.08
10,10/1/2018,Filler!,12.11,12.08,12.11,Filler!,12.11
11,11/1/2018,Filler!,12.13,12.11,12.13,Filler!,12.13
12,12/1/2018,Filler!,12.16,12.14,12.16,Filler!,12.16
13,1/1/2019,Filler!,12.19,12.16,12.19,Filler!,12.19
