"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2005-01-03,5.45,5.45,5.45,5.45,0,2.035077
"2",2005-01-04,5.32,5.32,5.32,5.32,0,1.986534
"3",2005-01-05,5.26,5.26,5.26,5.26,0,1.96413
"4",2005-01-06,5.23,5.23,5.23,5.23,0,1.952927
"5",2005-01-07,5.24,5.24,5.24,5.24,0,1.956661
"6",2005-01-10,5.25,5.25,5.25,5.25,0,1.960396
"7",2005-01-11,5.2,5.2,5.2,5.2,0,1.941725
"8",2005-01-12,5.21,5.21,5.21,5.21,0,1.94546
"9",2005-01-13,5.19,5.19,5.19,5.19,0,1.937991
"10",2005-01-14,5.26,5.26,5.26,5.26,0,1.96413
"11",2005-01-18,5.3,5.3,5.3,5.3,0,1.979066
"12",2005-01-19,5.21,5.21,5.21,5.21,0,1.94546
"13",2005-01-20,5.13,5.13,5.13,5.13,0,1.915587
"14",2005-01-21,5.1,5.1,5.1,5.1,0,1.904384
"15",2005-01-24,5.04,5.04,5.04,5.04,0,1.88198
"16",2005-01-25,5.07,5.07,5.07,5.07,0,1.893182
"17",2005-01-26,5.15,5.15,5.15,5.15,0,1.923055
"18",2005-01-27,5.16,5.16,5.16,5.16,0,1.926789
"19",2005-01-28,5.13,5.13,5.13,5.13,0,1.915587
"20",2005-01-31,5.21,5.21,5.21,5.21,0,1.94546
"21",2005-02-01,5.23,5.23,5.23,5.23,0,1.952927
"22",2005-02-02,5.26,5.26,5.26,5.26,0,1.96413
"23",2005-02-03,5.23,5.23,5.23,5.23,0,1.952927
"24",2005-02-04,5.32,5.32,5.32,5.32,0,1.986534
"25",2005-02-07,5.31,5.31,5.31,5.31,0,1.9828
"26",2005-02-08,5.33,5.33,5.33,5.33,0,1.990268
"27",2005-02-09,5.25,5.25,5.25,5.25,0,1.960396
"28",2005-02-10,5.24,5.24,5.24,5.24,0,1.956661
"29",2005-02-11,5.3,5.3,5.3,5.3,0,1.979066
"30",2005-02-14,5.33,5.33,5.33,5.33,0,1.990268
"31",2005-02-15,5.36,5.36,5.36,5.36,0,2.001471
"32",2005-02-16,5.35,5.35,5.35,5.35,0,1.997736
"33",2005-02-17,5.27,5.27,5.27,5.27,0,1.967864
"34",2005-02-18,5.27,5.27,5.27,5.27,0,1.967864
"35",2005-02-22,5.23,5.23,5.23,5.23,0,1.952927
"36",2005-02-23,5.22,5.22,5.22,5.22,0,1.949193
"37",2005-02-24,5.29,5.29,5.29,5.29,0,1.975332
"38",2005-02-25,5.32,5.32,5.32,5.32,0,1.986534
"39",2005-02-28,5.31,5.31,5.31,5.31,0,1.9828
"40",2005-03-01,5.37,5.37,5.37,5.37,0,2.005205
"41",2005-03-02,5.34,5.34,5.34,5.34,0,1.994002
"42",2005-03-03,5.32,5.32,5.32,5.32,0,1.986534
"43",2005-03-04,5.33,5.33,5.33,5.33,0,1.990268
"44",2005-03-07,5.38,5.38,5.38,5.38,0,2.008939
"45",2005-03-08,5.34,5.34,5.34,5.34,0,1.994002
"46",2005-03-09,5.31,5.31,5.31,5.31,0,1.9828
"47",2005-03-10,5.33,5.33,5.33,5.33,0,1.990268
"48",2005-03-11,5.28,5.28,5.28,5.28,0,1.971598
"49",2005-03-14,5.27,5.27,5.27,5.27,0,1.967864
"50",2005-03-15,5.21,5.21,5.21,5.21,0,1.94546
"51",2005-03-16,5.16,5.16,5.16,5.16,0,1.926789
"52",2005-03-17,5.17,5.17,5.17,5.17,0,1.930523
"53",2005-03-18,5.13,5.13,5.13,5.13,0,1.915587
"54",2005-03-21,5.13,5.13,5.13,5.13,0,1.915587
"55",2005-03-22,5.09,5.09,5.09,5.09,0,1.90065
"56",2005-03-23,5.11,5.11,5.11,5.11,0,1.908118
"57",2005-03-24,5.11,5.11,5.11,5.11,0,1.908118
"58",2005-03-28,5.13,5.13,5.13,5.13,0,1.915587
"59",2005-03-29,5.08,5.08,5.08,5.08,0,1.896916
"60",2005-03-30,5.16,5.16,5.16,5.16,0,1.926789
"61",2005-03-31,5.14,5.14,5.14,5.14,0,1.91932
"62",2005-04-01,5.15,5.15,5.15,5.15,0,1.923055
"63",2005-04-04,5.15,5.15,5.15,5.15,0,1.923055
"64",2005-04-05,5.15,5.15,5.15,5.15,0,1.923055
"65",2005-04-06,5.14,5.14,5.14,5.14,0,1.91932
"66",2005-04-07,5.2,5.2,5.2,5.2,0,1.941725
"67",2005-04-08,5.16,5.16,5.16,5.16,0,1.926789
"68",2005-04-11,5.13,5.13,5.13,5.13,0,1.915587
